year,scenario,anom_c
2040,SSP2-4.5,1.4552747
2040,SSP5-8.5,1.7124642
2041,SSP2-4.5,1.5434781
2041,SSP5-8.5,1.8194385
2042,SSP2-4.5,1.4861814
2042,SSP5-8.5,1.9647352
2043,SSP2-4.5,1.5190158
2043,SSP5-8.5,1.8078418
2044,SSP2-4.5,1.5380054
2044,SSP5-8.5,1.9872037
2045,SSP2-4.5,1.3483971
2045,SSP5-8.5,1.9840451
2046,SSP2-4.5,1.3469018
2046,SSP5-8.5,2.0411563
2047,SSP2-4.5,1.5485746
2047,SSP5-8.5,2.0573306
2048,SSP2-4.5,1.4394565
2048,SSP5-8.5,1.7967486
2049,SSP2-4.5,1.5579562
2049,SSP5-8.5,2.0523994
2050,SSP2-4.5,1.7061673
2050,SSP5-8.5,2.161693
2051,SSP2-4.5,1.7199537
2051,SSP5-8.5,2.2011447
2052,SSP2-4.5,1.8522424
2052,SSP5-8.5,2.2148013
2053,SSP2-4.5,1.8201963
2053,SSP5-8.5,2.3226402
2054,SSP2-4.5,1.8818341
2054,SSP5-8.5,2.4411552
2055,SSP2-4.5,1.7506493
2055,SSP5-8.5,2.6345832
2056,SSP2-4.5,1.8775693
2056,SSP5-8.5,2.5949714
2057,SSP2-4.5,1.9536548
2057,SSP5-8.5,2.5229704
2058,SSP2-4.5,1.9003278
2058,SSP5-8.5,2.8274899
2059,SSP2-4.5,1.8700696
2059,SSP5-8.5,2.9252656
2060,SSP2-4.5,2.0689375
2060,SSP5-8.5,2.9857845
2061,SSP2-4.5,2.0143416
2061,SSP5-8.5,2.931369
2062,SSP2-4.5,2.0733752
2062,SSP5-8.5,3.0191605
2063,SSP2-4.5,1.961719
2063,SSP5-8.5,3.0346916
2064,SSP2-4.5,2.0924537
2064,SSP5-8.5,2.86347
2065,SSP2-4.5,2.0123374
2065,SSP5-8.5,2.9621003
2066,SSP2-4.5,2.024758
2066,SSP5-8.5,3.149453
2067,SSP2-4.5,2.164755
2067,SSP5-8.5,2.996186
2068,SSP2-4.5,2.103295
2068,SSP5-8.5,3.28415
2069,SSP2-4.5,2.099816
2069,SSP5-8.5,3.4880123
2070,SSP2-4.5,2.0190794
2070,SSP5-8.5,3.508009
2071,SSP2-4.5,2.1616397
