year,tas_anom_c,region
1987,1.5347595,Arctic_60N_90N
1988,1.8479004,Arctic_60N_90N
1989,2.0302734,Arctic_60N_90N
1990,1.5127563,Arctic_60N_90N
1991,1.669281,Arctic_60N_90N
1992,1.2372131,Arctic_60N_90N
1993,1.3991394,Arctic_60N_90N
1994,1.1260376,Arctic_60N_90N
1995,1.2347412,Arctic_60N_90N
1996,1.6210938,Arctic_60N_90N
1997,2.2886963,Arctic_60N_90N
1998,2.6722717,Arctic_60N_90N
1999,2.7041626,Arctic_60N_90N
2000,1.9401855,Arctic_60N_90N
2001,2.8718262,Arctic_60N_90N
2002,2.585205,Arctic_60N_90N
2003,2.9623718,Arctic_60N_90N
2004,2.3704224,Arctic_60N_90N
2005,2.3650818,Arctic_60N_90N
2006,2.9194946,Arctic_60N_90N
2007,3.4454956,Arctic_60N_90N
2008,3.7280579,Arctic_60N_90N
2009,3.7097168,Arctic_60N_90N
2010,2.6725464,Arctic_60N_90N
2011,3.3301392,Arctic_60N_90N
2012,3.0855713,Arctic_60N_90N
2013,2.8070374,Arctic_60N_90N
2014,2.8592834,Arctic_60N_90N
1850,0.06201172,Global
1851,0.16546631,Global
1852,0.063964844,Global
1853,0.043945312,Global
1854,0.06427002,Global
1855,0.20837402,Global
1856,0.26693726,Global
1857,0.15631104,Global
1858,0.15127563,Global
1859,0.2376709,Global
1860,0.17266846,Global
1861,0.15487671,Global
1862,0.12384033,Global
1863,0.15859985,Global
1864,0.08734131,Global
1865,0.12780762,Global
1866,0.27667236,Global
1867,0.3454895,Global
1868,0.31503296,Global
1869,-0.0058288574,Global
1870,-0.15405273,Global
1871,0.13052368,Global
1872,0.17242432,Global
1873,0.21185303,Global
1874,0.16473389,Global
1875,-0.040008545,Global
1876,0.0051574707,Global
1877,0.11682129,Global
1878,0.09069824,Global
1879,-0.047790527,Global
1880,-0.20593262,Global
1881,-0.10406494,Global
1882,0.0030822754,Global
1883,0.007843018,Global
1884,-0.51904297,Global
1885,-0.51394653,Global
1886,-0.31149292,Global
1887,-0.17181396,Global
1888,-0.056396484,Global
1889,-0.117370605,Global
1890,-0.29605103,Global
1891,-0.20681763,Global
1892,-0.15423584,Global
1893,-0.34545898,Global
1894,-0.3414917,Global
1895,-0.2819214,Global
1896,-0.0864563,Global
1897,0.09420776,Global
1898,0.023284912,Global
1899,-0.07821655,Global
1900,-0.16445923,Global
1901,-0.03564453,Global
1902,0.061553955,Global
1903,-0.20431519,Global
1904,-0.18798828,Global
1905,-0.088653564,Global
1906,0.07229614,Global
1907,0.1116333,Global
1908,0.021392822,Global
1909,0.028625488,Global
1910,-0.009460449,Global
1911,0.07797241,Global
1912,0.2581787,Global
1913,0.1416626,Global
1914,-0.06576538,Global
1915,-0.117126465,Global
